127.0.0.1 - - [14/Apr/2021:12:07:41 +0200] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [14/Apr/2021:12:07:43 +0200] "GET /BC-SERVICE/ HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [14/Apr/2021:12:07:43 +0200] "GET /BC-SERVICE/BCAppScript.js HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [14/Apr/2021:12:13:21 +0200] "GET /BC-SERVICE/ HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [14/Apr/2021:12:13:21 +0200] "GET /BC-SERVICE/BCAppScript.js HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [14/Apr/2021:12:13:28 +0200] "GET /BC-SERVICE/rest/Clientes HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [14/Apr/2021:12:14:26 +0200] "GET /BC-SERVICE/ HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [14/Apr/2021:12:14:26 +0200] "GET /BC-SERVICE/BCAppScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:12:16:57 +0200] "GET /BC-SERVICE/ HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [14/Apr/2021:12:16:57 +0200] "GET /BC-SERVICE/BCAppScript.js HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [14/Apr/2021:12:16:57 +0200] "GET /BC-SERVICE/rest/Comercios HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [14/Apr/2021:12:21:06 +0200] "GET /BC-SERVICE/ HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [14/Apr/2021:12:21:06 +0200] "GET /BC-SERVICE/BCAppScript.js HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [14/Apr/2021:12:21:06 +0200] "GET /BC-SERVICE/rest/Pedidos HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [14/Apr/2021:12:21:54 +0200] "GET /BC-SERVICE/rest/Clientes HTTP/1.1" 200 96
